age,sex,religion,accomodation,drug_alcohol,drug_marijuana,drug_tobacco,drug_barbiturates
23,F,MUSLIM,OUTSIDERESIDENCE,YES,NO,NO,NO
22,M,CHRISTIAN,OUTSIDERESIDENCE,YES,NO,NO,NO
21,M,CHRISTIAN,OUTSIDERESIDENCE,NO,NO,NO,NO
23,M,CHRISTIAN,OUTSIDERESIDENCE,YES,NO,NO,NO
24,M,CHRISTIAN,OUTSIDERESIDENCE,YES,YES,NO,NO
23,F,CHRISTIAN,OUTSIDERESIDENCE,YES,NO,NO,NO
26,M,CHRISTIAN,OUTSIDERESIDENCE,YES,NO,YES,NO
22,F,MUSLIM,OUTSIDERESIDENCE,YES,YES,NO,NO
24,M,CHRISTIAN,HOSTEL,NO,NO,NO,NO
23,F,MUSLIM,HOSTEL,YES,NO,NO,NO
25,F,CHRISTIAN,HOSTEL,YES,NO,NO,NO
21,F,CHRISTIAN,HOSTEL,YES,YES,NO,NO
23,F,CHRISTAIN,OUTSIDE RESIDENCE,YES,YES,YES,NO
21,F,PAGN,OUTSIDE RESIDENCE,YES,NO,NO,NO
23,F,CHRISTIAN,OUTSIDE RESIDENCE,YES,NO,NO,NO
22,M,CHRISTIAN,OUTSIDE RESIDENCE,YES,NO,NO,NO
23,F,CHRISTIAN,OUTSIDE RESIDENCE,NO,YES,NO,NO
26,M,CHRISTIAN,OUTSIDE RESIDENCE,NO,NO,NO,NO
23,M,MUSLIM,OUTSIDE RESIDENCE,NO,NO,NO,NO
21,M,PAGAN,OUTSIDE RESIDENCE,NO,NO,NO,NO
21,M,CHRISTIAN,HOTEL,YES,YES,NO,NO
23,M,CHRISTIAN,HOSTEL,YES,NO,NO,NO
26,M,CHRISTIAN,HOSTEL,YES,NO,NO,NO
22,M,CHRISTIAN,OUTSIDE RESIDENCE,YES,NO,NO,NO
22,F,MUSLIM,OUTSIDE RESIDENCE,YES,NO,NO,YES
22,F,CHRISTIAN,OUTSIDE RESIDENCE,YES,YES,NO,NO
23,F,PAGAN,OUTSIDE RESIDENCE,NO,NO,NO,NO
23,F,PAGAN,OUTSIDE RESIDENCE,YES,NO,NO,NO
21,M,CHRISTIAN,OUTSIDE RESIDENCE,YES,NO,NO,NO
26,F,CHRISTIAN,OUTSIDE RESIDENCE,YES,NO,YES,NO
23,M,CHRISTIAN,OUTSIDE RESIDENCE,YES,NO,NO,NO
23,F,PAGAN,OUTSIDE RESIDENCE,YES,NO,NO,NO
24,F,PAGAN,HOME,YES,NO,NO,NO
21,M,CHRISTIAN,HOSTEL,NO,NO,NO,NO
23,F,CHRISTIAN,HOME,NO,YES,NO,NO
24,M,CHRISTIAN,HOSTEL,YES,NO,NO,NO
22,M,CHRISTIAN,OUTSIDE RESIDENCE,YES,NO,NO,NO
23,M,CHRISTIAN,OUTSIDE RESIDENCE,NO,NO,NO,NO
24,MF,MUSLIM,OUTSIDE RESIDENCE,YES,NO,NO,NO
23,M,CHRISTIAN,OUTSIDE RESIDENCE,NO,NO,NO,NO
21,M,MUSLIM,OUTSIDE RESIDENCE,YES,YES,NO,NO
25,F,CHRISTIAN,HOME,NO,NO,NO,NO
21,M,CHRISTIAN,OUTSIDE RESIDENCE,NO,NO,NO,NO
22,F,CHRISTIAN,OUTSIDE RESIDENCE,NO,NO,NO,NO
23,M,CHRISTIAN,OUTSIDE RESIDENCE,YES,NO,NO,NO
22,M,CHRISTIN,OUTSIDE RESIDENCE,YES,NO,NO,NO
23,M,ATHEIST,OUTSIDE RESIDENCE,NO,NO,NO,NO
25,M,MUSLIM,OUTSIDE RESIDENCE,YES,NO,YES,NO
22,F,ATHEIST,OUTSIDE RESIDENCE,NO,NO,NO,NO
25,M,ATHEIST,OUTSIDE RESIDENCE,NO,NO,NO,NO
23,F,CHRISTIAN,OUTSIDE RESIDENCE,YES,NO,NO,NO
22,M,MUSLIM,OUTSIDE RESIDENCE,YES,NO,YES,NO
23,F,CHRISTIAN,HOME,YES,NO,NO,NO
22,M,CHRISTIAN,OUTSIDE RESIDENCE,NO,NO,NO,NO
